Region	idx1	idx2	group
Brain-Right-OccipitalLobe-RLatOccipital	28	28	21
Brain-Right-ParietalLobe-RInfParietal	29	29	21
Brain-Right-ParietalLobe-RPrecuneus	30	30	21
Brain-Right-ParietalLobe-RSupParietal	31	31	21
Brain-Right-ParietalLobe-RSupramarg	32	32	21
Brain-Right-SensoryMotorCortex-RParacentral	63	63	21
Brain-Right-SensoryMotorCortex-RPostcentral	64	64	21
Brain-Right-SensoryMotorCortex-RPrecentral	60	60	21
Brain-Right-TemporalLobe-RBanksSTS	34	34	21
Brain-Right-TemporalLobe-RFusiform	35	35	21
Brain-Right-TemporalLobe-RInfTemporal	36	36	21
Brain-Right-TemporalLobe-RLingual	72	72	21
Brain-Right-TemporalLobe-RMidTemporal	37	37	21
Brain-Right-TemporalLobe-RSupTemporal	38	38	21
Brain-Left-ParietalLobe-LPrecuneus	13	13	22
Brain-Left-CerebralCortex-LCerebCtx	6	6	22
Brain-Left-Cingulate-LIsthmCing	7	7	22
Brain-Left-FrontalLobe-LCaudMidFrontal	8	8	22
Brain-Left-FrontalLobe-LParsOper	50	50	22
Brain-Left-FrontalLobe-LParsTriang	52	52	22
Brain-Left-FrontalLobe-LRostMidFrontal	9	9	22
Brain-Left-FrontalLobe-LSupFrontal	10	10	22
Brain-Left-OccipitalLobe-LCuneus	69	69	22
Brain-Left-OccipitalLobe-LLatOccipital	11	11	22
Brain-Left-ParietalLobe-LInfParietal	12	12	22
Brain-Left-ParietalLobe-LSupParietal	14	14	22
Brain-Left-ParietalLobe-LSupramarg	15	15	22
Brain-Left-SensoryMotorCortex-LParacentral	53	53	22
Brain-Left-SensoryMotorCortex-LPostcentral	16	16	22
Brain-Left-SensoryMotorCortex-LPrecentral	54	54	22
Brain-Left-TemporalLobe-LBanksSTS	18	18	22
